icao_id,name,state,wban_id,wmo_id,lat,lng,elevation_feet
KMKE,"Milwaukee, General Mitchell International Airport",WI,14839,72640,42.955,-87.90444,203.29
KMRJ,Iowa County Airport,WI,54907,,42.88754,-90.23147,356.92
KMSN,"Madison, Dane County Regional-Truax Field",WI,14837,72641,43.14056,-89.34528,261.67
KMTW,"Manitowoc, Manitowoc County Airport",WI,94897,,44.13333,-87.68333,0.0
KMWC,Milwaukee-Timmerman,WI,94869,,43.10961,-88.03048,223.72
KOEO,L O Simenstad Municipal Airport,WI,54912,,45.31084,-92.6948,275.23
KOSH,Wittman Regional Airport,WI,94855,,43.96701,-88.55814,239.33
KOVS,"Boscobel, Boscobel Airport",WI,94994,,43.15611,-90.6775,203.11
KPBH,Phillips / Price County,WI,54913,,45.7,-90.4,456.29
KPDC,Prairie Du Chien Municipal Airport,WI,04963,,43.01938,-91.12112,201.47
KRAC,"Racine, Batten International Airport",WI,94818,,42.75861,-87.81778,203.59
KRGK,Red Wing - Red Wing Regional Airport,WI,04967,,44.5926,-92.48439,237.74
KRHI,"Rhinelander, Rhinelander-Oneida County Airport",WI,04803,,45.63167,-89.48222,502.16
KRNH,New Richmond Municipal Airport,WI,04968,,45.14762,-92.53349,0.0
KRPD,"Rice Lake, Rice Lake Regional-Carl's Field Airport",WI,54909,,45.41806,-91.77361,336.8
KRRL,"Merrill, Merrill Municipal Airport",WI,04891,,45.19844,-89.70996,401.42
KRYV,Watertown,WI,54834,,43.17016,-88.72497,0.0
KRZN,"Siren, Burnett County Airport",WI,04972,,45.82278,-92.3725,301.45
KSBM,Sheboygan County Memorial Airport,WI,04841,,43.77483,-87.84897,228.86
KSTE,Stevens Point Municipal Airport,WI,04895,72646,44.54371,-89.53468,0.0
KSUE,Door County Cherryland Airport,WI,04824,,44.83941,-87.42188,220.68
KSUW,Richard I. Bong Airport,WI,54908,,46.68335,-92.09254,205.44
KUES,Waukesha County Airport,WI,04897,,43.04245,-88.24607,277.67
KUNU,"Juneau, Dodge County Airport",WI,04898,,43.42667,-88.70333,285.29
KVOK,Volk / Camp Douglas,WI,94930,,43.93333,-90.26667,0.0
KLNL,"Land O' Lakes, Kings Land O' Lakes Airport",WI,14886,,46.15389,-89.21194,0.0
KLUM,Menomonie Municipal Airport-Score Field,WI,04995,,44.89363,-91.86652,272.8
KPCZ,Waupaca Municipal Airport,WI,54852,,44.33425,-89.02023,0.0
KRCX,Ladysmith - Rusk County Airport,WI,54928,,45.4935,-90.9985,0.0
